iter	RMSE
0	33335.00406
1	33290.26066
2	33244.76521
3	33201.3506
4	33160.93699
5	33127.1659
6	33094.55733
7	33065.54465
8	33038.19399
9	33014.01606
10	32985.62285
11	32962.06147
12	32940.45855
13	32922.17733
14	32902.92276
15	32885.2341
16	32870.82627
17	32855.92936
18	32840.89638
19	32829.38951
20	32817.26777
21	32805.61962
22	32793.26674
23	32785.47653
24	32776.76286
25	32767.98221
26	32758.23681
27	32745.7764
28	32736.13057
29	32729.48705
30	32690.54161
31	32683.45662
32	32677.92593
33	32661.67154
34	32654.86299
35	32648.59785
36	32647.38455
37	32644.39499
38	32640.38793
39	32634.7215
40	32627.51625
41	32624.36481
42	32621.48999
43	32613.91763
44	32611.5354
45	32610.57964
46	32609.69368
47	32608.78263
48	32605.17179
49	32599.99535
50	32595.68986
51	32593.192
52	32590.42563
53	32588.57751
54	32583.6815
55	32581.01173
56	32580.27135
57	32578.43862
58	32575.82193
59	32528.94639
60	32525.17613
61	32519.32205
62	32518.47634
63	32517.88683
64	32516.2369
65	32513.72305
66	32510.58006
67	32508.0916
68	32505.15206
69	32504.51593
70	32503.07624
71	32498.75024
72	32496.31943
73	32490.92147
74	32487.79163
75	32483.89307
76	32481.53847
77	32480.99038
78	32463.992
79	32460.38558
80	32456.85633
81	32454.92869
82	32452.06517
83	32450.373
84	32447.97164
85	32443.50106
86	32440.28219
87	32439.12065
88	32437.46283
89	32436.09814
90	32434.23867
91	32433.29703
92	32430.93357
93	32429.39752
94	32428.24406
95	32425.05138
96	32423.3438
97	32421.50462
98	32418.79338
99	32418.45057
100	32417.72193
101	32415.88634
102	32415.17677
103	32413.928
104	32412.17353
105	32410.33219
106	32408.35869
107	32340.37031
108	32338.69707
109	32334.69185
110	32333.62692
111	32333.33506
112	32332.05991
113	32331.43604
114	32330.0877
115	32328.32019
116	32327.09581
117	32326.50061
118	32325.18822
119	32321.39777
120	32318.33715
121	32317.4141
122	32317.133
123	32315.12883
124	32314.02714
125	32311.93845
126	32310.91181
127	32310.38734
128	32305.97604
129	32305.60347
130	32302.83394
131	32301.27112
132	32300.4162
133	32299.6291
134	32298.08916
135	32297.00969
136	32294.97599
137	32294.35223
138	32184.10617
139	32183.57859
140	32182.38552
141	32182.07507
142	32179.66335
143	32177.28028
144	32176.60365
145	32170.36611
146	32169.22356
147	32168.19417
148	32162.38795
149	32160.56683
150	32159.77473
151	32155.60103
152	32154.90217
153	32152.07095
154	32150.73791
155	32150.53824
156	32149.13269
157	32147.06883
158	32146.33264
159	32142.34588
160	32139.11489
161	32133.17799
162	32132.70747
163	32131.73823
164	32131.07447
165	32130.28193
166	32129.91239
167	32128.90816
168	32128.72137
169	32127.48732
170	32126.16782
171	32123.8239
172	32123.19856
173	32122.00647
174	32121.25692
175	32013.41878
176	32012.27239
177	32011.77456
178	32008.967
179	32007.72579
180	32005.9085
181	32003.66363
182	32003.03598
183	31994.62701
184	31994.34502
185	31990.10222
186	31989.16179
187	31987.84823
188	31987.71883
189	31987.08906
190	31985.44054
191	31984.97197
192	31979.75767
193	31978.0879
194	31976.23955
195	31975.27837
196	31974.80526
197	31973.24181
198	31970.93718
199	31970.45192
