iter	Passed	Remaining
0	4	950
1	6	683
2	9	625
3	12	633
4	14	568
5	16	527
6	18	503
7	20	490
8	22	471
9	24	461
10	26	449
11	28	452
12	31	445
13	33	442
14	35	442
15	37	431
16	39	421
17	40	411
18	42	406
19	44	403
20	46	397
21	48	389
22	49	383
23	51	377
24	53	374
25	55	369
26	57	365
27	58	360
28	60	358
29	62	353
30	64	349
31	66	346
32	68	344
33	69	341
34	71	337
35	73	336
36	75	333
37	77	330
38	79	326
39	80	323
40	82	319
41	84	317
42	86	314
43	87	310
44	89	307
45	90	303
46	92	300
47	94	298
48	95	295
49	97	292
50	98	289
51	101	287
52	102	285
53	104	283
54	106	280
55	107	277
56	109	275
57	111	272
58	113	270
59	115	269
60	117	267
61	119	266
62	121	264
63	122	260
64	124	258
65	126	257
66	128	255
67	130	253
68	132	252
69	134	250
70	136	248
71	138	245
72	139	242
73	141	240
74	142	238
75	144	236
76	146	234
77	148	231
78	149	229
79	151	227
80	153	224
81	154	222
82	156	220
83	158	218
84	159	216
85	161	213
86	163	211
87	164	209
88	166	207
89	168	205
90	169	203
91	171	201
92	173	199
93	175	197
94	177	196
95	178	193
96	180	191
97	182	189
98	184	187
99	185	185
100	187	183
101	189	181
102	190	179
103	192	177
104	193	175
105	195	173
106	197	171
107	198	169
108	200	167
109	202	165
110	203	163
111	205	161
112	207	159
113	209	157
114	210	155
115	212	153
116	214	151
117	215	150
118	217	148
119	219	146
120	220	144
121	222	142
122	224	140
123	226	138
124	227	136
125	229	134
126	230	132
127	232	131
128	234	129
129	236	127
130	237	125
131	239	123
132	241	121
133	242	119
134	244	117
135	246	115
136	247	113
137	249	112
138	251	110
139	253	108
140	254	106
141	256	104
142	258	102
143	259	101
144	261	99
145	262	97
146	264	95
147	266	93
148	268	91
149	269	89
150	271	88
151	273	86
152	275	84
153	276	82
154	278	80
155	280	78
156	282	77
157	283	75
158	285	73
159	286	71
160	288	69
161	290	68
162	292	66
163	293	64
164	295	62
165	297	60
166	299	59
167	300	57
168	302	55
169	303	53
170	305	51
171	307	49
172	308	48
173	310	46
174	311	44
175	313	42
176	315	40
177	317	39
178	318	37
179	320	35
180	322	33
181	324	32
182	326	30
183	328	28
184	330	26
185	331	24
186	333	23
187	334	21
188	336	19
189	337	17
190	339	16
191	341	14
192	342	12
193	344	10
194	346	8
195	348	7
196	349	5
197	351	3
198	352	1
199	354	0
